time/fps,time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/iterations,train/value_loss,train/std,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/loss,train/learning_rate,train/clip_fraction,train/n_updates,train/approx_kl,train/clip_range,eval/mean_reward,eval/mean_ep_length
12,3973,237.0,49152,-1533.182339,48,23084.055683135986,0.7842320799827576,0.00044733630493283273,0.10797208547592163,-3.549414625763893,16857.865234375,0.000990097133814429,0.0853515625,1050,0.004818094,0.2,,
,,,50000,,,18657.908358383178,0.784964919090271,-0.001529433741234243,0.22364205121994019,-3.530029906332493,8278.3203125,0.000990097133814429,0.12255859375,1060,0.0137797985,0.2,-1490.8032472,255.8
11,4202,321.0,50176,-1686.550672,49,,,,,,,,,,,,,
11,4306,303.0,51200,-1760.527729,50,17830.880210876465,0.7824143767356873,0.019343911792384462,0.1974717378616333,-3.532681852579117,12322.49609375,0.000990097133814429,0.30859375,1070,0.040273804,0.2,,
12,4333,231.0,52224,-1418.166512,51,16612.71437110901,0.7864105701446533,-0.000923528618295677,0.2709152102470398,-3.5271456971764565,1289.4129638671875,0.000990097133814429,0.131640625,1080,0.031971984,0.2,,
12,4386,584.0,53248,-5099.097061,52,3275.1957111358643,0.8081047534942627,0.026482616196153684,0.2558882236480713,-3.569434282928705,1219.2633056640625,0.000990097133814429,0.22734375,1090,0.014390436,0.2,,
12,4415,680.0,54272,-6121.079762,53,8621.25739364624,0.8043593764305115,0.02501170208270196,0.2829247713088989,-3.605715949088335,1075.3675537109375,0.000990097133814429,0.2744140625,1100,0.012213218,0.2,,
12,4468,501.0,55296,-4130.380031,54,8872.0684009552,0.8083333969116211,0.017251572199165822,0.2759210467338562,-3.5945957355201243,4015.73095703125,0.000990097133814429,0.23994140625,1110,0.1062475,0.2,,
12,4546,252.0,56320,-1538.079607,55,16196.187802886963,0.8053221702575684,0.021018610461032948,0.16239994764328003,-3.6145534507930277,1301.71923828125,0.000990097133814429,0.259765625,1120,0.007253269,0.2,,
12,4549,252.0,57344,-1538.079607,56,21284.581254196168,0.7913786172866821,0.0033713578595779836,0.10632127523422241,-3.5701535500586035,35650.8515625,0.000990097133814429,0.21513671875,1130,0.013685004,0.2,,
12,4650,266.0,58368,-1744.007769,57,9755.581419372558,0.791404664516449,-0.0025354499550303443,0.7580240815877914,-3.552778411656618,5086.71240234375,0.000990097133814429,0.02744140625,1140,0.0052579874,0.2,,
12,4704,292.0,59392,-2158.625603,58,21899.879146575928,0.7910339832305908,0.0016963355388725176,0.10972332954406738,-3.5540871270000935,16969.287109375,0.000990097133814429,0.09873046875,1150,0.0111145135,0.2,,
,,,60000,,,13714.840969848632,0.8031277060508728,0.00430461593932705,0.17038285732269287,-3.5806031256914137,13730.6220703125,0.000990097133814429,0.15859375,1160,0.013625481,0.2,-3390.5295085999996,411.2
12,4912,292.0,60416,-1407.730096,59,,,,,,,,,,,,,
12,4966,225.0,61440,-1272.195269,60,14858.355498886109,0.8045642375946045,0.0046682458545546975,0.28492575883865356,-3.6127213686704636,3103.086669921875,0.000990097133814429,0.19208984375,1170,0.007629331,0.2,,
12,4995,1354.0,62464,-4925.239342,61,15625.60022315979,0.8106598258018494,-0.00217471374780871,0.24092310667037964,-3.616070555150509,2382.227294921875,0.000990097133814429,0.0931640625,1180,0.010653235,0.2,,
12,5048,287.0,63488,-1814.278839,62,7160.249521094561,0.8206729888916016,0.011785435129422695,0.16545134782791138,-3.644625496119261,5043.43505859375,0.000990097133814429,0.28154296875,1190,0.0090058725,0.2,,
12,5101,456.0,64512,-3552.645923,63,14877.33632736206,0.823699414730072,0.02307153443689458,0.2502667307853699,-3.67522324770689,3827.198486328125,0.000990097133814429,0.29345703125,1200,0.05088216,0.2,,
12,5154,546.0,65536,-3791.420311,64,9797.861696243286,0.8438137769699097,0.0090674997336464,0.4228110909461975,-3.7024893313646317,840.7362060546875,0.000990097133814429,0.19140625,1210,0.004785765,0.2,,
12,5183,1106.0,66560,-6982.388554,65,14889.575528335572,0.8547186851501465,0.005154568669968285,0.46852952241897583,-3.770295599848032,23313.50390625,0.000990097133814429,0.13505859375,1220,0.006206816,0.2,,
12,5260,537.0,67584,-4318.766034,66,9384.758285522461,0.8504035472869873,0.001682346055167727,-0.02161550521850586,-3.771146846562624,1377.3953857421875,0.000990097133814429,0.1517578125,1230,0.005117882,0.2,,
12,5288,421.0,68608,-3742.090982,67,22066.848545074463,0.8475418090820312,0.03873996981419623,-0.0009990930557250977,-3.747612951695919,13104.66796875,0.000990097133814429,0.41328125,1240,0.091169,0.2,,
13,5316,1311.0,69632,-5248.099522,68,8967.513529968262,0.8343612551689148,0.01304361383372452,0.0,-3.7016729794442655,20670.875,0.000990097133814429,0.18583984375,1250,0.010744748,0.2,,
