[INFO] [1686169581.853433, 0.000000]: Iniciando os testes...
[INFO] [1686169587.245565, 5661.540000]: Aguardando carregamento dos módulos do controlador de voo...
[INFO] [1686169587.247643, 5661.540000]: Iniciando os testes...
[1.0080000448226931, -0.4687893381118773, 0.2003243432044983]
[1.0100000190734866, -0.4846623232364653, 0.20100270366668702]
[1.0120000529289248, -0.5006045093536375, 0.20168106412887574]
[1.0170000481605532, -0.5183800449371336, 0.20337699508666993]
[1.0230000305175784, -0.5369340171813963, 0.20541210627555848]
[1.0310000467300418, -0.5569410314559935, 0.20812557792663575]
[1.0440000581741335, -0.580424844264984, 0.2125349805355072]
[1.065000026226044, -0.6096168746948241, 0.21965785479545594]
[8.36300018310547, -5.548470138549803, 2.6950259075164795]
[7.809000282287599, 4.100055099487306, 2.374620662689209]
[7.632000236511232, 3.875541330337526, 2.317648874282837]
[7.543000488281251, 3.7013806114196792, 2.289002166748047]
[7.50600030899048, 3.555534006118776, 2.2770929203033448]
[7.489000110626222, 3.420327068328859, 2.271620975494385]
[7.487000255584718, 3.292468191146852, 2.2709772453308106]
[7.498000411987306, 3.170311332702638, 2.274517761230469]
[7.5230005073547375, 3.053597808837892, 2.2825646266937256]
[5.114000110626222, 1.965606213569642, 1.5071711406707764]
[5.086000232696534, 1.8690830478668221, 1.4981586799621582]
[5.093000202178956, 1.7862716922760018, 1.5004118547439576]
[5.12500026702881, 1.7118870029449471, 1.5107117757797242]
[5.188000469207765, 1.6466072807312022, 1.5309898719787598]
[5.3190000343322765, 1.600371600151063, 1.573155270576477]
[8.220000534057618, 2.366266847610475, 2.5069105491638184]
[11.699000625610353, 3.1921280632019067, 3.6267089710235596]
[11.752000122070314, 3.006082416534426, 3.6437680587768555]
[11.833000450134278, 2.825002790451052, 3.6698398456573487]
[11.94100025177002, 2.647209526062014, 3.704602228164673]
[12.089000968933107, 2.474007965087893, 3.7522396907806397]
[1.2530000495910647, -0.20097914242744427, 0.26441721773147586]
[1.196000008583069, -0.20916339659690839, 0.2460704312324524]
[1.1620000886917117, -0.220139547228813, 0.2351267204284668]
[1.1380000400543215, -0.2321835746765135, 0.22740174984931946]
[1.1170000720024111, -0.24412211680412274, 0.22064240431785584]
[1.1010000395774844, -0.2566291978359221, 0.21549241399765015]
[1.0860000538825991, -0.2688587596416472, 0.21066431856155396]
[1.0730000424385073, -0.2811565091609953, 0.206479953289032]
[1.0630000519752505, -0.2939373245239256, 0.20326124286651612]
[1.0540000486373904, -0.3067002882957457, 0.20036436772346497]
[1.0440000581741335, -0.31880599164962753, 0.1971456274986267]
[1.0380000162124636, -0.33201739096641525, 0.19521437740325928]
[1.0310000467300418, -0.34464079046249374, 0.19296126222610474]
[1.0250000643730166, -0.3574194600582121, 0.1910300419330597]
[1.021000056266785, -0.37082022333145126, 0.18974255180358887]
[1.0170000481605532, -0.3840824952125548, 0.18845503187179566]
[1.0130000400543215, -0.39720627570152267, 0.18716754174232483]
[1.0100000190734866, -0.4106584181785582, 0.18620191669464112]
[1.0090000319480898, -0.4249750366210936, 0.185880051612854]
[1.0080000448226931, -0.4392570247650145, 0.1855581865310669]
[1.0070000576972964, -0.4535044124126433, 0.1852363214492798]
[1.0080000448226931, -0.4687893381118773, 0.1855581865310669]
[1.0100000190734866, -0.4846623232364653, 0.18620191669464112]
[1.0120000529289248, -0.5006045093536375, 0.18684567666053772]
[1.0170000481605532, -0.5183800449371336, 0.18845503187179566]
[1.0230000305175784, -0.5369340171813963, 0.1903862819671631]
[1.0310000467300418, -0.5569410314559935, 0.19296126222610474]
[1.0440000581741335, -0.580424844264984, 0.1971456274986267]
[1.065000026226044, -0.6096168746948241, 0.20390497303009034]
[8.483000068664552, -5.629420398712157, 2.591563449859619]
[7.8240001487731945, 3.842598796844484, 2.2466916904449463]
[7.73800018310547, 3.66811096763611, 2.2204992637634278]
[7.694000511169435, 3.516253591537477, 2.2070987091064453]
[7.678000240325929, 3.378537059783937, 2.2022256717681885]
[7.683000354766847, 3.2504740962982193, 2.20374845123291]
[7.7040002632141125, 3.128894210815431, 2.2101442680358887]
[5.115000038146974, 1.9660048494338997, 1.4216312036514283]
[5.086000232696534, 1.8690830478668221, 1.4127989873886109]
[5.093000202178956, 1.7862716922760018, 1.414930926322937]
[5.126000194549562, 1.7122337827682503, 1.4249814615249634]
[5.189000396728517, 1.646936655998231, 1.444168911933899]
[5.320000438690187, 1.600683690071107, 1.4840665922164917]
[11.69200065612793, 3.389900566101076, 3.4247405395507813]
[11.718000679016114, 3.1974006900787373, 3.4326591358184815]
[11.769000320434571, 3.010505796432497, 3.448191867828369]
[11.845000534057618, 2.8279174575805683, 3.4713384971618653]
[11.947000770568849, 2.648563028335573, 3.5024039611816407]
[12.088000564575196, 2.473799587249758, 3.545347438812256]
[1.2530000495910647, -0.20097914242744427, 0.24540989255905152]
[1.196000008583069, -0.20916339659690839, 0.22804983115196228]
[1.1620000886917117, -0.220139547228813, 0.21769468641281128]
[1.1380000400543215, -0.2321835746765135, 0.2103851900100708]
[1.1170000720024111, -0.24412211680412274, 0.2039893732070923]
[1.1010000395774844, -0.2566291978359221, 0.19911636567115784]
[1.0860000538825991, -0.2688587596416472, 0.19454793787002564]
[1.0730000424385073, -0.2811565091609953, 0.19058860993385315]
[1.0630000519752505, -0.2939373245239256, 0.18754299139976502]
[1.0540000486373904, -0.3067002882957457, 0.18480192279815674]
[1.0440000581741335, -0.31880599164962753, 0.18175627446174622]
[1.0380000162124636, -0.33201739096641525, 0.1799289152622223]
[1.0310000467300418, -0.34464079046249374, 0.17779697632789612]
[1.0250000643730166, -0.3574194600582121, 0.1759695873260498]
[1.021000056266785, -0.37082022333145126, 0.174751357793808]
[1.0170000481605532, -0.3840824952125548, 0.17353309845924378]
[1.0130000400543215, -0.39720627570152267, 0.17231483912467957]
[1.0100000190734866, -0.4106584181785582, 0.1714011595249176]
[1.0090000319480898, -0.4249750366210936, 0.17109657979011536]
[1.0080000448226931, -0.4392570247650145, 0.1707920298576355]
[1.0070000576972964, -0.4535044124126433, 0.17048747992515564]
[1.0080000448226931, -0.4687893381118773, 0.1707920298576355]
[1.0100000190734866, -0.4846623232364653, 0.1714011595249176]
[1.0120000529289248, -0.5006045093536375, 0.1720102891921997]
[1.0170000481605532, -0.5183800449371336, 0.17353309845924378]
[1.0230000305175784, -0.5369340171813963, 0.1753604576587677]
[1.0310000467300418, -0.5569410314559935, 0.17779697632789612]
[1.0440000581741335, -0.580424844264984, 0.18175627446174622]
[1.065000026226044, -0.6096168746948241, 0.18815209126472474]
[8.6500008392334, -5.7420755615234365, 2.4982604846954346]
[8.0420005607605, 3.6790946731567398, 2.1765558586120606]
[7.8940003204345714, 3.475871683120729, 2.1340424880981446]
[7.85800054550171, 3.3263038406372085, 2.1237013206481934]
[7.8970005798339855, 3.2091823825836197, 2.1349041328430176]
[5.115000038146974, 1.9660048494338997, 1.335769401550293]
[5.086000232696534, 1.8690830478668221, 1.327439175605774]
[5.093000202178956, 1.7862716922760018, 1.329449878692627]
[5.126000194549562, 1.7122337827682503, 1.338929162979126]
[5.189000396728517, 1.646936655998231, 1.357026086807251]
[5.320000438690187, 1.600683690071107, 1.3946560487747193]
[11.733001022338868, 3.4019883880615254, 3.2368025646209717]
[11.757000236511232, 3.208223939895632, 3.2436966762542725]
[11.806000976562501, 3.0201333770751972, 3.2577719554901123]
[11.880000381469728, 2.8364187488555928, 3.2790286407470703]
[11.980000762939454, 2.6560071716308613, 3.307753787994385]
[12.118000297546388, 2.4800478229522724, 3.347394453048706]
[1.2530000495910647, -0.20097914242744427, 0.2264025971889496]
[1.196000008583069, -0.20916339659690839, 0.21002923107147217]
[1.1620000886917117, -0.220139547228813, 0.20026268219947815]
[1.1380000400543215, -0.2321835746765135, 0.19336863017082215]
[1.1170000720024111, -0.24412211680412274, 0.18733634209632874]
[1.1010000395774844, -0.2566291978359221, 0.18274028754234314]
[1.0860000538825991, -0.2688587596416472, 0.17843152737617493]
[1.0730000424385073, -0.2811565091609953, 0.17469723677635193]
[1.0630000519752505, -0.2939373245239256, 0.17182473993301392]
[1.0540000486373904, -0.3067002882957457, 0.16923944807052613]
[1.0450000452995303, -0.3191516687870024, 0.16665418601036072]
[1.0380000162124636, -0.33201739096641525, 0.16464342331886292]
[1.0310000467300418, -0.34464079046249374, 0.16263266062736512]
[1.0250000643730166, -0.3574194600582121, 0.1609091625213623]
[1.021000056266785, -0.37082022333145126, 0.1597601488828659]
[1.0170000481605532, -0.3840824952125548, 0.1586111352443695]
[1.0130000400543215, -0.39720627570152267, 0.1574621365070343]
[1.0100000190734866, -0.4106584181785582, 0.1566003725528717]
[1.0090000319480898, -0.4249750366210936, 0.1563131228685379]
[1.0080000448226931, -0.4392570247650145, 0.1560258731842041]
[1.0070000576972964, -0.4535044124126433, 0.1557386234998703]
[1.0080000448226931, -0.4687893381118773, 0.1560258731842041]
[1.0100000190734866, -0.4846623232364653, 0.1566003725528717]
[1.0120000529289248, -0.5006045093536375, 0.1571748868227005]
[1.0170000481605532, -0.5183800449371336, 0.1586111352443695]
[1.0230000305175784, -0.5369340171813963, 0.1603346482515335]
[1.0310000467300418, -0.5569410314559935, 0.16263266062736512]
[1.0440000581741335, -0.580424844264984, 0.16636695122718811]
[1.065000026226044, -0.6096168746948241, 0.17239923930168152]
[8.921000747680665, -5.924887298583983, 2.429050193786621]
[7.8940003204345714, 3.475871683120729, 2.000073896408081]
[7.85800054550171, 3.3263038406372085, 1.9903559551239014]
[7.8980005073547375, 3.209598423004152, 2.001153694152832]
[5.115000038146974, 1.9660048494338997, 1.2499075994491577]
[5.086000232696534, 1.8690830478668221, 1.242079363822937]
[5.093000202178956, 1.7862716922760018, 1.2439689502716065]
[5.126000194549562, 1.7122337827682503, 1.2528769836425782]
[5.189000396728517, 1.646936655998231, 1.269883261680603]
[5.320000438690187, 1.600683690071107, 1.3052455053329468]
[11.791000633239747, 3.4190882453918476, 3.0520341262817383]
[11.815000801086427, 3.2243195781707783, 3.058512674331665]
[11.862000732421876, 3.0347048053741474, 3.0711998805999756]
[11.937000541687013, 2.8502634773254414, 3.091445432662964]
[12.039000778198243, 2.669316650390627, 3.118979440689087]
[1.2530000495910647, -0.20097914242744427, 0.20739527201652527]
[1.1950000810623171, -0.20897351109981518, 0.1917387113571167]
[1.1620000886917117, -0.220139547228813, 0.18283064818382264]
[1.1380000400543215, -0.23218357467651352, 0.1763520703315735]
[1.1170000720024111, -0.24412211680412277, 0.1706832811832428]
[1.1010000395774844, -0.2566291978359221, 0.16636423921585083]
[1.0860000538825991, -0.2688587596416472, 0.16231511688232422]
[1.0730000424385073, -0.2811565091609953, 0.1588058934211731]
[1.0630000519752505, -0.2939373245239256, 0.15610647356510163]
[1.0540000486373904, -0.3067002882957457, 0.1536770031452179]
[1.0450000452995303, -0.3191516687870024, 0.15124753272533417]
[1.0380000162124636, -0.33201739096641525, 0.14935794627666474]
[1.0310000467300418, -0.34464079046249374, 0.1474683598279953]
[1.0250000643730166, -0.3574194600582121, 0.14584872281551362]
[1.021000056266785, -0.37082022333145126, 0.14476895487308503]
[1.0170000481605532, -0.3840824952125548, 0.14368918693065644]
[1.0130000400543215, -0.39720627570152267, 0.14260941898822785]
[1.0100000190734866, -0.4106584181785582, 0.141799600481987]
[1.0090000319480898, -0.4249750366210936, 0.14152966594696045]
[1.0080000448226931, -0.4392570247650145, 0.1412597165107727]
[1.0070000576972964, -0.4535044124126433, 0.14098978197574616]
[1.0080000448226931, -0.4687893381118773, 0.1412597165107727]
[1.0100000190734866, -0.4846623232364653, 0.141799600481987]
[1.0120000529289248, -0.5006045093536375, 0.1423394844532013]
[1.0170000481605532, -0.5183800449371336, 0.14368918693065644]
[1.0230000305175784, -0.5369340171813963, 0.14530883884429932]
[1.0310000467300418, -0.5569410314559935, 0.1474683598279953]
[1.0440000581741335, -0.580424844264984, 0.15097759819030762]
[1.065000026226044, -0.6096168746948241, 0.15664635753631592]
[11.509000091552736, -7.670705913543699, 2.975910650253296]
